sample_id,subject_id,split,label,attack_type,session,illumination,device,blink_count,eye_open_ratio,mouth_open_ratio,smile_ratio,head_yaw,head_pitch,head_roll,face_movement,face_stability,ear_std,mar_mean,mar_std,nose_movement,head_yaw_mean,head_pitch_mean,head_roll_mean,frame_count,valid_frame_count,face_detect_rate
S001_sess1_t1_il1_dev1,S001,train,0,live,1.0,1.0,1,1,0.23105455629265803,0.0031283213219025336,0.014659133939744258,0.02234643660469691,0.06678682435424448,0.28187373531972865,0.2868044597374729,0.029897844887174122,0.025453637962093524,0.0031283213219025336,0.0017287129268031074,0.3418117723943913,-0.05794767399169758,-0.12075757888565967,0.26289702714765484,8,8,1.0
S001_sess1_t1_il1_dev2,S001,train,0,live,1.0,1.0,2,1,0.22393819555328898,0.0015700532445660925,0.008804852978587187,0.04380811783750326,0.028203598023800038,0.34430879101138956,0.4187390534498793,0.03069576476155886,0.02690514586359696,0.0015700532445660925,0.0006142379343598226,0.48260199941310794,-0.047955955097436075,-0.11751391861782383,0.4986741126628715,12,12,1.0
S001_sess1_t1_il2_dev1,S001,train,0,live,1.0,2.0,1,2,0.1595975005072074,0.10196538725814461,0.03383204949220143,0.3049226460206368,0.10797361256432098,0.5456392824239125,0.5269681446053065,0.05605728188286174,0.08166324907725395,0.10196538725814461,0.17092864205896907,0.8347874472051476,0.002130897615409112,-0.1694116380529962,0.20293781655234389,10,10,1.0
S001_sess1_t1_il2_dev2,S001,train,0,live,1.0,2.0,2,2,0.23128635890184282,0.09604730113851541,0.06768176693674632,0.31350654868356015,0.19517480199883455,1.0735020775553457,0.685650077396359,0.05318701268344434,0.07366783966258691,0.09604730113851541,0.2233285615185961,1.245772941490647,0.016943196962948853,-0.08568645547388049,0.1655932591441723,12,12,1.0
S001_sess2_t1_il1_dev2,S001,train,0,live,2.0,1.0,2,1,0.2380081048276085,0.001780200825580045,0.011757968184467782,0.034678236546091104,0.03134792106480301,0.4179488908568085,0.9209080427457079,0.036576094886640806,0.023776678849832394,0.001780200825580045,0.0010178411875858488,1.0116151729854015,-0.04522533583555903,-0.18928398105290506,0.3392494940310939,21,21,1.0
S001_sess2_t1_il2_dev1,S001,train,0,live,2.0,2.0,1,6,0.18578761690278064,0.06789835654605629,0.041045024752946316,0.24718381337412063,0.10590548773317793,0.7371532932114412,1.212759428672201,0.04662301048121235,0.07042972814712911,0.06789835654605629,0.14162448203868508,1.7467126894137104,-0.0225755294377141,-0.21691349776288896,0.050912028671326194,24,24,1.0
S001_sess2_t1_il2_dev2,S001,train,0,live,2.0,2.0,2,3,0.24347752039688103,0.07475005968117748,0.04421212894947261,0.16391938829098623,0.1300117661360155,0.5964718298116257,1.218589737490692,0.0432923139112391,0.056285446560286084,0.07475005968117748,0.16468357284128377,1.6456366714372364,-0.008140045228426719,-0.15838759926243212,0.3903600821692762,23,23,1.0
S002_sess1_t1_il1_dev1,S002,test,0,live,1.0,1.0,1,0,0.23091962897526813,0.002142315897232321,0.01481233128538444,0.040341618514879655,0.14933453621259962,0.7096911675986832,0.46501964002057544,0.040299108570262594,0.013405548674887031,0.002142315897232321,0.0011856679663919906,0.7046058250074925,0.02145722505488718,0.01162854783683955,1.0232196958495972,10,10,1.0
S002_sess1_t1_il1_dev2,S002,test,0,live,1.0,1.0,2,2,0.21207430634371258,0.012319224620912478,0.01598615537076201,0.043370323350213874,0.13791446435398183,0.3988888360647187,0.3656881167662416,0.03340680674289655,0.023454755043491902,0.012319224620912478,0.0329097887166853,0.4848962504143418,0.05605250644710502,-0.045443412843742044,0.5892451470103139,11,11,1.0
S002_sess1_t1_il2_dev1,S002,test,0,live,1.0,2.0,1,1,0.2701175522879635,0.04363483489285067,0.025141862798046515,0.32350533716574753,0.2392940119017325,1.6511291003709132,0.5250900096389901,0.04283091000376481,0.040349281404539625,0.04363483489285067,0.10480721870870778,0.8740284742658347,0.057751093841981405,0.09965285005290321,0.9286796119351842,12,12,1.0
S002_sess1_t1_il2_dev2,S002,test,0,live,1.0,2.0,2,0,0.2857206883890101,0.03167960273899204,0.020744845634382978,0.5333347976848459,0.22340043043158733,2.180962977159197,0.8397532907666053,0.06248591138675395,0.035331987216867713,0.03167960273899204,0.10047429396753012,1.3850737052416988,0.136154687230565,0.04858438908837827,1.1434702003175512,14,14,1.0
S002_sess2_t1_il1_dev1,S002,test,0,live,2.0,1.0,1,1,0.23453602979278904,0.002037136214764678,0.016371400344866976,0.039467980380740224,0.0942651223645483,0.6420448490775269,1.2459128660203496,0.044076314107313976,0.014653228796933863,0.002037136214764678,0.0016197924373061885,1.2956516837699248,0.011182717785076828,-0.11318815411371956,1.0206895388510164,20,20,1.0
